,plant_id,name_e,family,genus,species,eatr,medr,care,eat,med,others,name_k
116,116,Baikal Skullcap,Lamiaceae|Labiatae,Scutellaria,baicalensis,1,6,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Tea,Anodyne|Antibacterial|Anticholesterolemic|Antipyretic|Antispasmodic|Astringent|Cancer|Cholagogue|Diuretic|Dysentery|Expectorant|Febrifuge|Haemostatic|Laxative|Nervine|Sedative|Stomachic|TB|Tonic|Urinary,,황금
117,117,Swiss Chard,Chenopodiaceae,Beta,vulgarisflavescens,4,4,FullyHardy|MoistSoil|Fullsun,,Antitumor|Emmenagogue,Companion,사탕무
118,118,Adzuki Bean,Fabaceae,Vigna,angularis,4,4,Tender|Welldrainedsoil|MoistSoil|Semi|Fullsun,Coffee,Antitumor|Febrifuge|Kidney|Laxative,Cosmetic|Hair,팥
119,119,Sesame,Pedaliaceae,Sesamum,indicum,3,6,Tender|MoistSoil|Fullsun,Condiment|Oil|Oil,Antiasthmatic|Antidiarrhoeal|Antihaemorrhoidal|Antitussive|Astringent|Cholera|Diuretic|Dysentery|Emollient|Galactogogue|Kidney|Laxative|Lenitive|Nutritive|Skin|Tonic,Hair|Insecticide|Lighting|Oil|Oil,참깨
120,120,Alpine Leek,Alliaceae,Allium,victorialis,4,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,,Antiscorbutic|Carminative|Diuretic|Vermifuge,Repellent,산마늘
121,121,Cuckoo Flower,Brassicaceae|Cruciferae,Cardamine,pratensis,3,4,FullyHardy|MoistSoil|WetSoil|Semi|Fullsun,,Antirheumatic|Antiscorbutic|Antispasmodic|Carminative|Digestive|Diuretic|Stimulant,,꽃냉이
122,122,Flixweed,Brassicaceae|Cruciferae,Descurainia,sophia,2,4,MoistSoil|Semi|Fullsun,Condiment,Antiasthmatic|Antiscorbutic|Antitussive|Astringent|Cardiotonic|Demulcent|Diuretic|Dysentery|Febrifuge|Laxative|Poultice|Vermifuge,Preservative,재쑥
123,123,Creeping Jenny,Primulaceae,Lysimachia,nummularia,1,4,FullyHardy|MoistSoil|WetSoil|WaterPlants|Semi|Fullsun,Tea,Antidiarrhoeal|Antiscorbutic|Astringent|Diuretic|Vulnerary,,리시마키아
124,124,Watercress,Brassicaceae|Cruciferae,Nasturtium,officinale,4,6,FullyHardy|WetSoil|WaterPlants|Fullsun,Condiment,Antirheumatic|Antiscorbutic|Appetizer|Depurative|Diuretic|Expectorant|Hypoglycaemic|Miscellany|Odontalgic|Purgative|Stimulant|Stomachic|TB,Hair|Miscellany,물냉이
125,125,Hyssop,Lamiaceae|Labiatae,Hyssopus,officinalis,2,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Oil,Antiseptic|Aromatherapy|Astringent|Carminative|Diaphoretic|Emmenagogue|Expectorant|Pectoral|Stimulant|Stomachic|Tonic|Vasodilator,Essential|Fungicide|Hedge|Hedge|Oil|Repellent|Strewing,히솝
126,126,Cheeseweed,Malvaceae,Malva,parviflora,3,4,MoistSoil|Semi|Fullsun,Oil,Antidandruff|Demulcent|Emollient|Pectoral|Skin,Dye|Hair|Oil,애기아욱
127,127,Wild Bergamot,Lamiaceae|Labiatae,Monarda,fistulosa,3,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Carminative|Diaphoretic|Diuretic|Pectoral|Stimulant,Repellent,베르가못
128,128,Willow Grass,Polygonaceae,Polygonum,amphibium,1,4,FullyHardy|WetSoil|WaterPlants|Semi|Fullsun,,Astringent|Depurative|Pectoral|Poultice|Skin,Tannin,물여뀌
129,129,Clary,Lamiaceae|Labiatae,Salvia,sclarea,2,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Oil,Antispasmodic|Appetizer|Aromatherapy|Aromatic|Astringent|Balsamic|Carminative|Ophthalmic|Pectoral|Tonic,Essential|Oil,클라리세이지
130,130,Ku Shen,Fabaceae|Leguminosae,Sophora,flavescens,0,6,FullyHardy|MoistSoil|Fullsun,,Anthelmintic|Antibacterial|Antifungal|Antipruritic|Astringent|Bitter|Carminative|Diuretic|Dysentery|Eczema|Febrifuge|Leprosy|Parasiticide|Parasiticide|Pectoral|Stomachic|Tonic|Urinary,Insecticide|Parasiticide|Parasiticide,고삼
131,131,Wooly Mullein,Scrophulariaceae,Verbascum,phlomoides,0,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,,Anodyne|Antiseptic|Demulcent|Diuretic|Expectorant|Pectoral|Vermifuge,Repellent,뮬레인
132,132,Niu Xi,Amaranthaceae,Achyranthes,bidentata,2,6,FrostHardy|MoistSoil|Semi|Fullsun,,Anodyne|Antiasthmatic|Antiinflammatory|Antirheumatic|Bitter|Digestive|Diuretic|Emmenagogue|Odontalgic|Vasodilator,Insecticide|Teeth,쇠무릎
133,133,Yerba Santa,Hydrophyllaceae,Eriodictyon,californicum,2,6,FrostHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Antiasthmatic|Expectorant|Pectoral|Tonic,Weaving,여바산타
